"파일명","글자","모임꼴","받침여부","너비(mm)","높이(mm)","비례기준","비례값","균형점X(Gu)","균형점Y(Gu)","편차X(Gu)","편차Y(Gu)","균형축각도(°)","상단중심X(px)","상단중심Y(px)","하단중심X(px)","하단중심Y(px)","픽셀수","기준치수(mm)","낱글자W","낱글자H","낱글자비율","낱글자W비례%","낱글자H비례%","첫닿자W","첫닿자H","첫닿자비율","첫닿자W비례%","첫닿자H비례%","받침닿자W","받침닿자H","받침닿자비율","받침닿자W비례%","받침닿자H비례%","가로모임꼴W","가로모임꼴H","가로모임꼴비율","가로모임꼴W비례%","가로모임꼴H비례%","세로모임꼴W","세로모임꼴H","세로모임꼴비율","세로모임꼴W비례%","세로모임꼴H비례%","가로획W","가로획H","가로획비율","가로획W비례%","가로획H비례%","세로획W","세로획H","세로획비율","세로획W비례%","세로획H비례%","가로보W","가로보H","가로보비율","가로보W비례%","가로보H비례%","세로기둥W","세로기둥H","세로기둥비율","세로기둥W비례%","세로기둥H비례%","겹기둥W","겹기둥H","겹기둥비율","겹기둥W비례%","겹기둥H비례%","안기둥W","안기둥H","안기둥비율","안기둥W비례%","안기둥H비례%","밖기둥W","밖기둥H","밖기둥비율","밖기둥W비례%","밖기둥H비례%","이음보W","이음보H","이음보비율","이음보W비례%","이음보H비례%","상단간격W","상단간격H","상단간격비율","상단간격W비례%","상단간격H비례%","하단간격W","하단간격H","하단간격비율","하단간격W비례%","하단간격H비례%","수평간격W","수평간격H","수평간격비율","수평간격W비례%","수평간격H비례%","수직간격W","수직간격H","수직간격비율","수직간격W비례%","수직간격H비례%","좌측단차W","좌측단차H","좌측단차비율","좌측단차W비례%","좌측단차H비례%","우측단차W","우측단차H","우측단차비율","우측단차W비례%","우측단차H비례%","상단단차W","상단단차H","상단단차비율","상단단차W비례%","상단단차H비례%","하단단차W","하단단차H","하단단차비율","하단단차W비례%","하단단차H비례%","측정시각"
"1964_정당제도_램_134_2501002 1.jpg","램","가로모임꼴","받침","13.86","19.28","높이기준","0.708","58.73","51.12","8.73","1.12","-0.83","602","350","596","801","104031","18.25","12.92","18.25","0.708","70.79","100","7.04","8.54","0.824","38.58","46.79","7.5","5.85","1.282","41.1","32.05","5.88","11.21","0.525","32.22","61.42","","","","","","2.56","1.06","2.415","14.03","5.81","","","","","","","","","","","","","","","","5.85","11.19","0.523","32.05","61.32","2.03","9.79","0.207","11.12","53.64","2.69","10.96","0.245","14.74","60.05","","","","","","","","","","","","","","","","2.7","18.2","0.148","14.79","99.73","12.96","1.18","10.983","71.01","6.47","","","","","","","","","","","12.92","3.58","3.609","70.79","19.62","5.39","6.09","0.885","29.53","33.37","2026-06-02T10:26:21.506Z"
"1964_정당제도_랫_130_250417 1.jpg","랫","가로모임꼴","받침","14.88","19.14","높이기준","0.762","55.97","53.58","5.97","3.58","-0.74","601","354","595","800","112447","18.15","13.83","18.15","0.762","76.2","100","7.19","8.25","0.872","39.61","45.45","11.19","6.27","1.785","61.65","34.55","6.17","11.94","0.517","33.99","65.79","","","","","","2.67","0.71","3.761","14.71","3.91","","","","","","","","","","","","","","","","6.19","11.96","0.518","34.1","65.9","2.46","8.79","0.28","13.55","48.43","2.77","11.9","0.233","15.26","65.56","","","","","","","","","","","","","","","","2.77","18.13","0.153","15.26","99.89","13.82","1.48","9.338","76.14","8.15","","","","","","","","","","","13.8","3.55","3.887","76.03","19.56","2.78","6.47","0.43","15.32","35.65","2026-06-02T10:26:25.319Z"
"1964_정당제도_렌_038_250417 1.jpg","렌","가로모임꼴","받침","15.64","18.46","높이기준","0.801","54.1","49.74","4.1","-0.26","-1.07","605","401","597","878","117849","18.02","14.44","18.02","0.801","80.13","100","5.96","8.65","0.689","33.07","48","9.75","4.23","2.305","54.11","23.47","7.71","14.5","0.532","42.79","80.47","","","","","","3.48","0.93","3.742","19.31","5.16","","","","","","","","","","","","","","","","5.75","14.48","0.397","31.91","80.36","2.22","11.76","0.189","12.32","65.26","2.72","14.42","0.189","15.09","80.02","","","","","","","","","","","","","","","","2.77","18.02","0.154","15.37","100","14.5","1.91","7.592","80.47","10.6","","","","","","","","","","","14.47","3.75","3.859","80.3","20.81","4.86","5.57","0.873","26.97","30.91","2026-06-02T10:26:31.876Z"
"1964_정당제도_렉_025_250424 1.jpg","렉","가로모임꼴","받침","14.16","19.44","높이기준","0.716","62.61","58.32","12.61","8.32","9.17","608","306","676","730","107691","18.4","13.17","18.4","0.716","71.58","100","5.65","8.04","0.703","30.71","43.7","8.31","6.69","1.242","45.16","36.36","7.71","10.58","0.729","41.9","57.5","","","","","","2.86","0.99","2.889","15.54","5.38","","","","","","","","","","","","","","","","5.93","10.6","0.559","32.23","57.61","2.13","9.44","0.226","11.58","51.3","2.58","10.6","0.243","14.02","57.61","","","","","","","","","","","","","","","","3.04","18.35","0.166","16.52","99.73","13.24","1.95","6.79","71.96","10.6","","","","","","","","","","","13.49","3","4.497","73.32","16.3","4.56","7.24","0.63","24.78","39.35","2026-06-02T10:26:41.755Z"
"1964_정당제도_렐_445_250529 01.jpg","렐","가로모임꼴","받침","15.2","18.7","높이기준","0.769","58.68","50.73","8.68","0.73","2.11","612","309","630","796","71862","18.25","14.04","18.25","0.769","76.93","100","5.1","8.31","0.614","27.95","45.53","8.65","6.88","1.257","47.4","37.7","7.54","9.69","0.778","41.32","53.1","","","","","","3.02","0.86","3.512","16.55","4.71","","","","","","","","","","","","","","","","6.26","9.67","0.647","34.3","52.99","2.38","8.29","0.287","13.04","45.42","2.85","9.52","0.299","15.62","52.16","","","","","","","","","","","","","","","","3.68","18.23","0.202","20.16","99.89","14.07","0.98","14.357","77.1","5.37","","","","","","","","","","","13.91","3.33","4.177","76.22","18.25","5.44","6.83","0.796","29.81","37.42","2026-06-02T10:26:45.173Z"
"1964_정당제도_렘_195_250414 1.jpg","렘","가로모임꼴","받침","14.12","19.18","높이기준","0.73","53.07","49.81","3.07","-0.19","11.91","524","349","618","793","84015","18.21","13.29","18.21","0.73","72.98","100","5.98","8.81","0.679","32.84","48.38","7.67","5.71","1.343","42.12","31.36","7.44","10.67","0.697","40.86","58.59","","","","","","2.58","0.94","2.745","14.17","5.16","","","","","","","","","","","","","","","","5.95","10.68","0.557","32.67","58.65","2.36","9.12","0.259","12.96","50.08","2.77","10.67","0.26","15.21","58.59","","","","","","","","","","","","","","","","3.24","18.22","0.178","17.79","100.05","13.33","0.92","14.489","73.2","5.05","","","","","","","","","","","13.4","3.4","3.941","73.59","18.67","5.4","6.1","0.885","29.65","33.5","2026-06-02T10:26:49.789Z"
"1964_정당제도_렛_129_250413 2.jpg","렛","가로모임꼴","받침","14.42","19.1","높이기준","0.733","58.37","52.41","8.37","2.41","0.8","610","357","616","789","115657","18.02","13.21","18.02","0.733","73.31","100","5.13","8.63","0.594","28.47","47.89","10.19","6.54","1.558","56.55","36.29","7.5","12.65","0.593","41.62","70.2","","","","","","2.88","0.87","3.31","15.98","4.83","","","","","","","","","","","","","","","","5.5","12.59","0.437","30.52","69.87","2","9.18","0.218","11.1","50.94","2.77","12.58","0.22","15.37","69.81","","","","","","","","","","","","","","","","3.26","18.01","0.181","18.09","99.94","13.25","0.54","24.537","73.53","3","","","","","","","","","","","13.19","3.24","4.071","73.2","17.98","3.11","6.53","0.476","17.26","36.24","2026-06-02T10:26:53.107Z"
"1964_정당제도_앵_119_250413 1.jpg","앵","가로모임꼴","받침","14.68","19.04","높이기준","0.775","62.18","51.63","12.18","1.63","1.17","625","347","635","815","138838","18.56","14.38","18.56","0.775","77.48","100","7.38","6.58","1.122","39.76","35.45","7.35","6.5","1.131","39.6","35.02","6.29","11.08","0.568","33.89","59.7","","","","","","2.57","0.8","3.212","13.85","4.31","","","","","","","","","","","","","","","","6.27","11.09","0.565","33.78","59.75","2.54","9.08","0.28","13.69","48.92","2.85","11.06","0.258","15.36","59.59","","","","","","","","","","","","","","","","2.08","18.54","0.112","11.21","99.89","14.38","1.36","10.574","77.48","7.33","","","","","","","","","","","14.7","4.4","3.341","79.2","23.71","6.69","7.82","0.855","36.05","42.13","2026-06-02T10:26:56.340Z"
"1964_정당제도_액_272_250529 01.jpg","액","가로모임꼴","받침","14.22","18.96","높이기준","0.786","66.84","58.41","16.84","8.41","11.43","637","320","727","765","89048","17.77","13.96","17.77","0.786","78.56","100","7.04","6.46","1.09","39.62","36.35","8.5","6.35","1.339","47.83","35.73","6","10.21","0.588","33.76","57.46","","","","","","2.46","0.77","3.195","13.84","4.33","","","","","","","","","","","","","","","","6.07","10.21","0.595","34.16","57.46","2.35","9.08","0.259","13.22","51.1","2.92","10.17","0.287","16.43","57.23","","","","","","","","","","","","","","","","2.04","17.63","0.116","11.48","99.21","13.93","1.9","7.332","78.39","10.69","","","","","","","","","","","14.16","3.41","4.152","79.68","19.19","5.31","8.02","0.662","29.88","45.13","2026-06-02T10:27:02.591Z"
"1964_정당제도_엘_026_250417 1.jpg","엘","가로모임꼴","받침","15.56","18.28","높이기준","0.857","57.07","55.25","7.07","5.25","-1.73","613","315","599","777","109492","17.48","14.98","17.48","0.857","85.7","100","7.27","6.46","1.125","41.59","36.96","8.69","7.23","1.202","49.71","41.36","7.08","9.65","0.734","40.5","55.21","","","","","","2.15","0.8","2.687","12.3","4.58","","","","","","","","","","","","","","","","5.95","9.69","0.614","34.04","55.43","2.37","8.56","0.277","13.56","48.97","2.96","9.29","0.319","16.93","53.15","","","","","","","","","","","","","","","","2.48","17.4","0.143","14.19","99.54","15.02","1.01","14.871","85.93","5.78","","","","","","","","","","","15","3.52","4.261","85.81","20.14","6.46","7.79","0.829","36.96","44.57","2026-06-02T10:26:59.557Z"
