"파일명","글자","모임꼴","받침여부","너비(mm)","높이(mm)","비례기준","비례값","균형점X(Gu)","균형점Y(Gu)","편차X(Gu)","편차Y(Gu)","균형축각도(°)","픽셀수","기준치수(mm)","낱글자W","낱글자H","낱글자비율","낱글자W비례%","낱글자H비례%","첫닿자W","첫닿자H","첫닿자비율","첫닿자W비례%","첫닿자H비례%","받침닿자W","받침닿자H","받침닿자비율","받침닿자W비례%","받침닿자H비례%","가로모임꼴W","가로모임꼴H","가로모임꼴비율","가로모임꼴W비례%","가로모임꼴H비례%","세로모임꼴W","세로모임꼴H","세로모임꼴비율","세로모임꼴W비례%","세로모임꼴H비례%","가로획W","가로획H","가로획비율","가로획W비례%","가로획H비례%","세로획W","세로획H","세로획비율","세로획W비례%","세로획H비례%","가로보W","가로보H","가로보비율","가로보W비례%","가로보H비례%","세로기둥W","세로기둥H","세로기둥비율","세로기둥W비례%","세로기둥H비례%","겹기둥W","겹기둥H","겹기둥비율","겹기둥W비례%","겹기둥H비례%","안기둥W","안기둥H","안기둥비율","안기둥W비례%","안기둥H비례%","밖기둥W","밖기둥H","밖기둥비율","밖기둥W비례%","밖기둥H비례%","이음보W","이음보H","이음보비율","이음보W비례%","이음보H비례%","상단간격W","상단간격H","상단간격비율","상단간격W비례%","상단간격H비례%","하단간격W","하단간격H","하단간격비율","하단간격W비례%","하단간격H비례%","수평간격W","수평간격H","수평간격비율","수평간격W비례%","수평간격H비례%","수직간격W","수직간격H","수직간격비율","수직간격W비례%","수직간격H비례%","좌측단차W","좌측단차H","좌측단차비율","좌측단차W비례%","좌측단차H비례%","우측단차W","우측단차H","우측단차비율","우측단차W비례%","우측단차H비례%","상단단차W","상단단차H","상단단차비율","상단단차W비례%","상단단차H비례%","하단단차W","하단단차H","하단단차비율","하단단차W비례%","하단단차H비례%","측정시각"
"1964_정당제도_가_001_250325 1.jpg","가","가로모임꼴","민글자","18.66","18.94","높이기준","0.985","54.4","54.71","4.4","4.71","-109.69","69288","18.94","18.66","18.94","0.985","98.52","100","10.2","18.94","0.539","53.85","100","","","","","","8.46","18.94","0.447","44.67","100","","","","","","8.46","1.22","6.934","44.67","6.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84","18.94","0.15","14.99","100","","","","","","","","","","","","","","","","10.2","4.48","2.277","53.85","23.65","10.2","3.48","2.931","53.85","18.37","2026-06-01T14:51:05.035Z"
"1964_정당제도_가_001_250325 2.jpg","가","가로모임꼴","민글자","18.8","19.08","높이기준","0.985","56.13","55.12","6.13","5.12","-70.28","71526","19.08","18.8","19.08","0.985","98.53","100","10.14","19.08","0.531","53.14","100","","","","","","8.66","19.08","0.454","45.39","100","","","","","","8.66","1.3","6.662","45.39","6.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64","19.08","0.138","13.84","100","","","","","","","","","","","","","","","","10.14","4.56","2.224","53.14","23.9","10.14","3.84","2.641","53.14","20.13","2026-06-01T14:51:12.443Z"
"1964_정당제도_가_001_250325 3.jpg","가","가로모임꼴","민글자","18.6","19.18","높이기준","0.97","57.77","55.54","7.77","5.54","-65.66","65879","19.18","18.6","19.18","0.97","96.98","100","10.04","19.18","0.523","52.35","100","","","","","","8.56","19.18","0.446","44.63","100","","","","","","8.56","1.2","7.133","44.63","6.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62","19.18","0.137","13.66","100","","","","","","","","","","","","","","","","10.04","4.42","2.271","52.35","23.04","10.04","3.94","2.548","52.35","20.54","2026-06-01T14:51:20.655Z"
"1964_정당제도_가_001_250330 4.jpg","가","가로모임꼴","민글자","18.78","19.38","높이기준","0.969","55.79","55.96","5.79","5.96","-97.07","58499","19.38","18.78","19.38","0.969","96.9","100","9.88","19.38","0.51","50.98","100","","","","","","8.9","19.38","0.459","45.92","100","","","","","","8.9","1.12","7.946","45.92","5.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","19.38","0.155","15.48","100","","","","","","","","","","","","","","","","9.88","4.66","2.12","50.98","24.05","9.88","4.08","2.422","50.98","21.05","2026-06-01T14:51:28.194Z"
"1964_정당제도_거_006_250403 1.jpg","거","가로모임꼴","민글자","14.48","19.3","높이기준","0.75","68.25","55.71","18.25","5.71","-167.94","62852","19.3","14.48","19.3","0.75","75.03","100","4.02","19.3","0.208","20.83","100","","","","","","10.46","19.3","0.542","54.2","100","","","","","","10.46","1.52","6.882","54.2","7.88","","","","","","","","","","","1.2","19.3","0.062","6.22","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","19.3","0.028","2.8","100","","","","","","","","","","","","","","","","4.02","4.54","0.885","20.83","23.52","4.02","3.9","1.031","20.83","20.21","2026-06-01T14:51:54.825Z"
"1964_정당제도_거_001_250324 1.jpg","거","가로모임꼴","민글자","14.4","19.08","높이기준","0.755","65.65","56.77","15.65","6.77","-144.89","59735","19.08","14.4","19.08","0.755","75.47","100","9.78","19.08","0.513","51.26","100","","","","","","4.62","19.08","0.242","24.21","100","","","","","","4.62","0.92","5.022","24.21","4.82","","","","","","","","","","","1.08","19.08","0.057","5.66","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","19.08","0.147","14.68","100","","","","","","","","","","","","","","","","9.78","4.62","2.117","51.26","24.21","9.78","3.54","2.763","51.26","18.55","2026-06-01T14:52:02.832Z"
"1964_정당제도_개_003_250403 1.jpg","개","가로모임꼴","민글자","15.14","19.6","높이기준","0.772","60.48","60.71","10.48","10.71","-110.01","34998","19.6","15.14","19.6","0.772","77.24","100","7.74","19.6","0.395","39.49","100","","","","","","7.4","19.6","0.378","37.76","100","","","","","","7.4","0.7","10.571","37.76","3.57","","","","","","","","","","","0.14","19.6","0.007","0.71","100","","","","","","0.22","19.6","0.011","1.12","100","","","","","","","","","","","","","","","","","","","","","2.16","19.6","0.11","11.02","100","","","","","","","","","","","","","","","","7.74","2.22","3.486","39.49","11.33","7.74","4.76","1.626","39.49","24.29","2026-06-01T14:52:10.182Z"
"1964_정당제도_가_003_250330 1.jpg","가","가로모임꼴","민글자","19.14","19.24","높이기준","0.995","56.96","55.21","6.96","5.21","-64.74","66152","19.24","19.14","19.24","0.995","99.48","100","10.44","19.24","0.543","54.26","100","","","","","","8.7","19.24","0.452","45.22","100","","","","","","8.7","1.26","6.905","45.22","6.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.76","19.24","0.143","14.35","100","","","","","","","","","","","","","","","","10.44","4.46","2.341","54.26","23.18","10.44","3.76","2.777","54.26","19.54","2026-06-01T14:52:17.379Z"
